Symbol,Last Price
ABBEYBDS,6.80
ABCTRANS,4.60
ACADEMY,8.79
AFRINSURE,0.20
AFRIPRUD,15.25
AFROMEDIA,0.24
AIICO,4.18
AIRTELAFRI,"2,310.50"
ALEX,7.15
ARADEL,500.00
AUSTINLAZ,2.90
AVAIF,"1,000,000.00"
BERGER,33.45
BETAGLAS,449.35
BUACEMENT,138.40
BUAFOODS,538.70
CAP,69.95
CHAMPION,18.80
CHAMS,2.76
CILEASING,6.86
CONHALLPLC,4.39
CONOIL,207.00
CORNERST,7.10
CUTIX,3.55
CWG,16.25
DAARCOMM,1.21
DANGSUGAR,60.20
DEAPCAP,1.81
DUNLOP,0.20
EKOCORP,5.80
ELLAHLAKES,15.45
ETERNA,35.95
ETI,35.60
ETRANZACT,10.85
EUNISELL,24.00
FCMB,10.90
FIDELITYBK,20.90
FIDSON,40.00
FTGINSURE,0.20
FTNCOCOA,6.60
GEREGU,"1,027.40"
GOLDBREW,7.10
GTCO,94.00
GUINEAINS,1.77
GUINNESS,131.10
HMCALL,4.23
HONYFLOUR,23.00
IKEJAHOTEL,24.00
IMG,35.95
INFINITY,7.00
INTBREW,13.00
INTENEGINS,3.49
JAPAULGOLD,2.79
JBERGER,123.00
LASACO,3.46
LEARNAFRCA,7.00
LEGENDINT,5.95
LINKASSURE,2.38
MANSARD,16.10
MAYBAKER,17.00
MBENEFIT,4.34
MEYER,15.30
MORISON,3.22
NAHCO,104.20
NASCON,88.30
NB,70.00
NCR,10.50
NEIMETH,6.65
NEM,26.60
NESTLE,"1,890.00"
NGXGROUP,59.80
NIDF,113.00
NNFM,86.50
NPFMCRFBK,3.15
NSLTECH,1.10
OANDO,49.85
OKOMUOIL,918.00
PHARMDEKO,1.83
PRESCO,"1,372.00"
PRESTIGE,1.77
PZ,35.00
REGALINS,1.34
RTBRISCOE,3.57
SCOA,6.05
SOVRENINS,2.65
STACO,0.48
STANBIC,94.05
STERLINGNG,7.60
SUNUASSUR,6.04
THOMASWY,3.26
TOTAL,619.90
TRANSCOHOT,164.90
TRANSCORP,49.00
TRANSEXPR,2.15
TRANSPOWER,258.00
TRIPPLEG,5.18
UACN,74.00
UCAP,19.10
UNILEVER,73.00
UNIONDICON,10.10
UNITYBNK,1.51
UNIVINSURE,1.21
UPDC,6.93
UPL,6.35
VANLEER,5.45
VFDGROUP,12.00
VITAFOAM,74.60
WAPIC,3.17
WEMABANK,23.00
