name,date,open,high,low,close,volume,trades,value,change,previous_close,main_sector,sub_sector,change_pct
ABBEYBDS,2025-12-24,5.85,6.4,6.0,6.4,1124624429,13,7065903631.2,0.55,5.85,,,9.4
ABCTRANS,2025-12-24,3.15,3.46,3.27,3.27,743799,75,2476824.9,0.12,3.15,,,3.81
ACADEMY,2025-12-24,7.3,0.0,0.0,7.3,5196,18,37896.3,0.0,7.3,,,0.0
ACCESSCORP,2025-12-24,20.5,20.75,20.5,20.5,38176177,1043,783294963.85,0.0,20.5,,,0.0
AFRINSURE [MRF],2025-12-24,0.2,0.0,0.0,0.2,0,0,0.0,0.0,0.2,,,0.0
AFRIPRUD,2025-12-24,13.5,14.0,14.0,14.0,344558,46,4770567.0,0.5,13.5,,,3.7
AFROMEDIA [MRF],2025-12-24,0.24,0.0,0.0,0.24,0,0,0.0,0.0,0.24,,,0.0
AIICO,2025-12-24,3.93,3.94,3.71,3.78,10728138,311,40752714.32,-0.15,3.93,,,-3.82
AIRTELAFRI,2025-12-24,2270.0,0.0,0.0,2270.0,50,1,124850.0,0.0,2270.0,,,0.0
ALEX [BLS],2025-12-24,16.35,16.35,16.35,16.35,6525815,199,103416840.6,1.45,14.9,,,9.73
ARADEL,2025-12-24,679.9,0.0,0.0,679.9,966594,467,649629026.2,0.0,679.9,,,0.0
ASOSAVINGS [DWL],2025-12-24,3.21,0.0,0.0,3.21,0,0,0.0,0.0,3.21,,,0.0
AUSTINLAZ [RST],2025-12-24,2.91,3.2,3.2,3.2,2709838,79,8671129.08,0.29,2.91,,,9.97
AVAIF,2025-12-24,1000000.0,0.0,0.0,1000000.0,0,0,0.0,0.0,1000000.0,,,0.0
BAPLC,2025-12-24,6.25,0.0,0.0,6.25,0,0,0.0,0.0,6.25,,,0.0
BERGER,2025-12-24,43.95,45.85,45.85,45.85,361706,89,16157837.85,1.9,43.95,,,4.32
BETAGLAS,2025-12-24,370.0,0.0,0.0,370.0,754220,353,260732812.6,0.0,370.0,,,0.0
BUACEMENT,2025-12-24,174.0,175.0,175.0,175.0,295080,441,51333476.0,1.0,174.0,,,0.57
BUAFOODS,2025-12-24,748.0,0.0,0.0,748.0,79734,374,57746979.3,0.0,748.0,,,0.0
