date,sector,avg_change_pct,total_volume,total_trades,top_mover
2025-12-24,Hospitality,2.85,853237,65,IKEJAHOTEL
2025-12-24,Consumer Goods,2.46,37013102,2533,GUINNESS
2025-12-24,Banking,0.31,249623229,4978,UBA
2025-12-24,Industrial Goods,0.18,9497454,1416,WAPCO
2025-12-24,REITs,0.1,1707350,121,UPDCREIT
2025-12-24,Investment,0.05,1243901,157,UCAP
2025-12-24,Oil & Gas,0.03,4913759,551,OANDO
2025-12-24,Transport,0.0,716573,92,NAHCO
2025-12-24,Healthcare,0.0,2066854,322,FIDSON
2025-12-24,Conglomerates,0.0,618605,237,JOHNHOLT
2025-12-24,Power,0.0,984,35,GEREGU
2025-12-24,Insurance,-0.27,128804731,589,CUSTODIAN
2025-12-24,Technology,-0.35,6514454,136,CWG
2025-12-24,Agriculture,-4.67,538670,570,OKOMUOIL
2025-12-24,Telecom,-27.7,3239983,1370,MTNN
