sector,institutional_zone_count,buildup_count,institutional_zone_stocks,buildup_stocks,date_generated
AGRICULTURE- Crop Production,4,0,"ELLAHLAKES, FTNCOCOA [RST], OKOMUOIL, PRESCO",,2025-12-24
AGRICULTURE- Livestock/Animal Specialties,1,0,LIVESTOCK,,2025-12-24
CONGLOMERATES- Diversified Industries,4,2,"CHELLARAM, CUSTODIAN, SCOA, TRANSCORP","JOHNHOLT, UACN",2025-12-24
CONSTRUCTION/REAL ESTATE- Infrastructure/Heavy Construction,1,0,NIDF,,2025-12-24
CONSTRUCTION/REAL ESTATE- Real Estate Development,1,1,HMCALL,UPDC [BLS],2025-12-24
CONSTRUCTION/REAL ESTATE- Real Estate Investment Trusts (REITs),3,0,"SFSREIT, UHOMREIT, UPDCREIT",,2025-12-24
CONSUMER GOODS- Beverages--Brewers/Distillers,3,1,"CHAMPION [BLS], INTBREW, NB",GUINNESS,2025-12-24
CONSUMER GOODS- Food Products,6,2,"BUAFOODS, DANGSUGAR, HONYFLOUR, MCNICHOLS, NASCON, UNIONDICON [DWL]","NNFM, UNIONDICON",2025-12-24
CONSUMER GOODS- Food Products--Diversified,2,0,"CADBURY, NESTLE",,2025-12-24
CONSUMER GOODS- Household Durables,2,0,"ENAMELWA, VITAFOAM",,2025-12-24
CONSUMER GOODS- Personal/Household Products,2,0,"PZ, UNILEVER",,2025-12-24
FINANCIAL SERVICES- Banking,27,0,"ACCESSCORP, AIICO, CONHALLPLC, ETI, FIDELITYBK, FIRSTHOLDCO, GTCO, GUINEAINS, INTENEGINS, JAIZBANK, LASACO, LINKASSURE, MANSARD, MBENEFIT, NEM, PRESTIGE [BLS], REGALINS, SOVRENINS, STERLINGNG, SUNUASSUR, SUNUASSUR [BLS], UBA, UNIVINSURE, VERITASKAP, WAPIC, WEMABANK, ZENITHBANK",,2025-12-24
FINANCIAL SERVICES- Micro-Finance Banks,4,0,"ABBEYBDS, INFINITY [BLS], LIVINGTRUST, NPFMCRFBK",,2025-12-24
FINANCIAL SERVICES- Other Financial Institutions,4,0,"AFRIPRUD, FCMB, NGXGROUP, STANBIC",,2025-12-24
HEALTHCARE- Medical Supplies,1,0,MORISON,,2025-12-24
HEALTHCARE- Pharmaceuticals,3,1,"FIDSON, MAYBAKER, NEIMETH",MECURE,2025-12-24
ICT- Computers and Peripherals,1,0,OMATEK,,2025-12-24
ICT- IT Services,3,0,"CWG, LEGENDINT, NCR",,2025-12-24
ICT- Processing Systems,1,1,CHAMS,ETRANZACT,2025-12-24
ICT- Telecommunications Services,1,1,MTNN,AIRTELAFRI,2025-12-24
INDUSTRIAL GOODS- Building Materials,7,2,"BERGER, BUACEMENT, DANGCEM, DEAPCAP [DWL], MEYER, UCAP, WAPCO","CAP, JBERGER",2025-12-24
INDUSTRIAL GOODS- Electronic and Electrical Products,1,0,AUSTINLAZ [RST],,2025-12-24
INDUSTRIAL GOODS- Packaging/Containers,2,0,"BETAGLAS, TRIPPLEG",,2025-12-24
INVESTMENT- Diversified Industries,1,0,VFDGROUP,,2025-12-24
NATURAL RESOURCES- Chemicals,1,0,IMG,,2025-12-24
NATURAL RESOURCES- Metals,2,0,"ALEX [BLS], ROYALEX",,2025-12-24
NATURAL RESOURCES- Mining Services,1,0,MULTIVERSE,,2025-12-24
OIL AND GAS- Energy Equipment and Services,0,1,,JAPAULGOLD,2025-12-24
OIL AND GAS- Exploration and Production,1,0,SEPLAT,,2025-12-24
OIL AND GAS- Integrated Oil and Gas Services,2,0,"ARADEL, OANDO",,2025-12-24
OIL AND GAS- Petroleum and Petroleum Products Distributors,1,1,ETERNA,TOTAL,2025-12-24
SERVICES- Automobile/Auto Part Retailers,1,0,RTBRISCOE,,2025-12-24
SERVICES- Courier/Freight/Delivery,2,0,"REDSTAREX, TRANSEXPR",,2025-12-24
SERVICES- Food/Drug Retailers and Wholesalers,1,0,JULI,,2025-12-24
SERVICES- Hospitality,1,0,TANTALIZER,,2025-12-24
SERVICES- Hotels/Lodging,2,0,"IKEJAHOTEL, TRANSCOHOT",,2025-12-24
SERVICES- Media/Entertainment,1,0,DAARCOMM,,2025-12-24
SERVICES- Printing/Publishing,3,0,"ACADEMY, LEARNAFRCA, UPL",,2025-12-24
SERVICES- Road Transportation,1,0,ABCTRANS,,2025-12-24
SERVICES- Specialty,1,0,NSLTECH,,2025-12-24
SERVICES- Support and Logistics,2,0,"CAVERTON, CILEASING",,2025-12-24
SERVICES- Transport-Related Services,2,0,"NAHCO, SKYAVN",,2025-12-24
SERVICES- Waste Management,1,0,TIP,,2025-12-24
UTILITIES- Electric Power Generation,2,0,"GEREGU, TRANSPOWER",,2025-12-24
