symbol,name,price,shares_outstanding,market_cap,main_sector,sub_sector
UBA,UNITED BANK FOR AFRICA PLC 0.50,31.7,34199421368,1084121657365.6,FINANCIAL SERVICES,FINANCIAL SERVICES- Banking
ACCESSCORP,ACCESS BANK PLC 0.50,31.7,34199421368,1084121657365.6,FINANCIAL SERVICES,FINANCIAL SERVICES- Banking
FIRSTHOLDCO,FIRST BANK 0.50,31.7,34199421368,1084121657365.6,FINANCIAL SERVICES,FINANCIAL SERVICES- Banking
ZENITHBANK,ZENITH BANK PLC 0.50,44.0,41069830000,1807072520000.0,FINANCIAL SERVICES,FINANCIAL SERVICES- Banking
MTNN,MTN NIGERIA COMMUNICATIONS PLC 0.02,243.0,20995560103,5101921105029.0,ICT,ICT- Telecommunications Services
DANGCEM,DANGOTE CEMENT PLC 0.50,480.0,16873559251,8099308440480.0,INDUSTRIAL GOODS,INDUSTRIAL GOODS- Building Materials
WAPCO,LAFARGE AFRICA PLC. 0.50,71.5,16107795496,1151707377964.0,INDUSTRIAL GOODS,INDUSTRIAL GOODS- Building Materials
SEPLAT,SEPLAT ENERGY PLC 0.50,5700.0,588444561,3354133997700.0,OIL AND GAS,OIL AND GAS- Exploration and Production
ELLAHLAKES,ELLAH LAKES PLC. 0.50,3.38,3858173678,13040627031.64,AGRICULTURE,AGRICULTURE- Crop Production
FTNCOCOA,FTN COCOA PROCESSORS PLC 0.50,1.8,3900000000,7020000000.0,AGRICULTURE,AGRICULTURE- Crop Production
OKOMUOIL,OKOMU OIL PALM PLC. 0.50,545.2,953910000,520071732000.0,AGRICULTURE,AGRICULTURE- Crop Production
PRESCO,PRESCO PLC 0.50,785.0,1000000000,785000000000.0,AGRICULTURE,AGRICULTURE- Crop Production
LIVESTOCK,LIVESTOCK FEEDS PLC. 0.50,8.7,2999999418,26099994936.6,AGRICULTURE,AGRICULTURE- Livestock/Animal Specialties
CUSTODIAN,CUSTODIAN INVESTMENT PLC 0.50,16.8,5881864195,98815318476.0,CONGLOMERATES,CONGLOMERATES- Diversified Industries
JOHNHOLT,JOHN HOLT PLC. 0.50,7.74,389151412,3012031928.88,CONGLOMERATES,CONGLOMERATES- Diversified Industries
SCOA,S C O A NIG. PLC. 0.50,4.47,649825665,2904720722.55,CONGLOMERATES,CONGLOMERATES- Diversified Industries
TRANSCORP,TRANSNATIONAL CORPORATION PLC 0.50,41.5,10161997574,421722899321.0,CONGLOMERATES,CONGLOMERATES- Diversified Industries
UACN,U A C N PLC. 0.50,30.0,2926131656,87783949680.0,CONGLOMERATES,CONGLOMERATES- Diversified Industries
