name,date,signal
AAK.ST,2025-05-13,watchlist
AAK.ST,2025-05-14,buy
AAK.ST,2025-05-30,reset (expired)
AAK.ST,2025-06-02,buy
AAK.ST,2025-06-19,reset (expired)
AAK.ST,2025-06-23,watchlist
AAK.ST,2025-07-04,buy
AAK.ST,2025-07-21,reset (expired)
AAK.ST,2025-07-25,buy
AAK.ST,2025-08-05,watchlist
ABB.ST,2025-05-13,watchlist
ABB.ST,2025-05-14,buy
ABB.ST,2025-05-30,reset (expired)
ABB.ST,2025-06-03,buy
ABB.ST,2025-06-19,reset (expired)
ABB.ST,2025-06-26,buy
ABB.ST,2025-07-17,reset (expired)
ABB.ST,2025-07-18,buy
ABB.ST,2025-08-04,reset (expired)
ABB.ST,2025-08-05,buy
ACAD.ST,2025-05-13,watchlist
ACAD.ST,2025-05-14,buy
ACAD.ST,2025-05-30,watchlist
ACAD.ST,2025-06-02,buy
ACAD.ST,2025-06-19,reset (expired)
ACAD.ST,2025-06-23,watchlist
ACAD.ST,2025-06-26,buy
ACAD.ST,2025-07-17,reset (expired)
ACAD.ST,2025-07-18,buy
ACAD.ST,2025-07-25,watchlist
ACAD.ST,2025-08-04,buy
ADDT-B.ST,2025-05-13,watchlist
ADDT-B.ST,2025-05-16,buy
ADDT-B.ST,2025-05-26,watchlist
ADDT-B.ST,2025-05-30,buy
ADDT-B.ST,2025-06-16,reset (expired)
ADDT-B.ST,2025-06-26,watchlist
ADDT-B.ST,2025-06-27,buy
ADDT-B.ST,2025-07-17,reset (expired)
ADDT-B.ST,2025-07-18,buy
ADDT-B.ST,2025-07-28,watchlist
ADDT-B.ST,2025-08-05,buy
ADDV-B.ST,2025-05-13,watchlist
ADDV-B.ST,2025-05-14,buy
ADDV-B.ST,2025-05-30,reset (expired)
ADDV-B.ST,2025-06-02,buy
ADDV-B.ST,2025-06-19,sell
ADDV-B.ST,2025-06-23,watchlist
ADDV-B.ST,2025-06-26,buy
ADDV-B.ST,2025-07-17,reset (expired)
ADDV-B.ST,2025-07-18,buy
ADDV-B.ST,2025-08-04,watchlist
ADDV-B.ST,2025-08-05,buy
AFRY.ST,2025-05-13,watchlist
AFRY.ST,2025-05-16,buy
AFRY.ST,2025-06-02,reset (expired)
AFRY.ST,2025-06-04,buy
AFRY.ST,2025-06-19,sell
AFRY.ST,2025-06-26,watchlist
AFRY.ST,2025-06-27,buy
AFRY.ST,2025-07-17,reset (expired)
AFRY.ST,2025-07-18,buy
AFRY.ST,2025-08-04,reset (expired)
AFRY.ST,2025-08-05,buy
ALFA.ST,2025-05-13,watchlist
ALFA.ST,2025-05-14,buy
ALFA.ST,2025-05-26,watchlist
ALFA.ST,2025-05-27,buy
ALFA.ST,2025-06-13,reset (expired)
ALFA.ST,2025-06-16,buy
ALFA.ST,2025-06-27,watchlist
ALFA.ST,2025-06-30,buy
ALFA.ST,2025-07-17,reset (expired)
ALFA.ST,2025-07-18,buy
ALFA.ST,2025-07-28,watchlist
ALFA.ST,2025-07-30,buy
ALIF-B.ST,2025-05-13,watchlist
ALIF-B.ST,2025-05-27,buy
ALIF-B.ST,2025-06-13,reset (expired)
ALIF-B.ST,2025-06-16,watchlist
ALIF-B.ST,2025-06-27,buy
ALIF-B.ST,2025-07-17,reset (expired)
ALIF-B.ST,2025-07-18,buy
ALIF-B.ST,2025-08-04,reset (expired)
ALIF-B.ST,2025-08-05,buy
ALIG.ST,2025-05-13,watchlist
ALIG.ST,2025-05-14,buy
ALIG.ST,2025-05-30,reset (expired)
ALIG.ST,2025-06-03,buy
ALIG.ST,2025-06-19,reset (expired)
ALIG.ST,2025-06-27,buy
ALIG.ST,2025-07-17,reset (expired)
ALIG.ST,2025-07-18,buy
ALIG.ST,2025-07-21,watchlist
ALIG.ST,2025-07-25,buy
ALIV-SDB.ST,2025-05-13,watchlist
ALIV-SDB.ST,2025-05-27,buy
ALIV-SDB.ST,2025-06-13,reset (expired)
ALIV-SDB.ST,2025-06-16,buy
ALIV-SDB.ST,2025-07-02,reset (expired)
ALIV-SDB.ST,2025-07-04,buy
ALIV-SDB.ST,2025-07-21,reset (expired)
ALIV-SDB.ST,2025-07-25,buy
ALIV-SDB.ST,2025-07-28,watchlist
ALIV-SDB.ST,2025-08-05,buy
ALLEI.ST,2025-05-13,watchlist
ALLEI.ST,2025-05-20,buy
ALLEI.ST,2025-06-05,reset (expired)
ALLEI.ST,2025-06-10,buy
ALLEI.ST,2025-06-19,sell
ALLEI.ST,2025-06-27,watchlist
ALLEI.ST,2025-07-04,buy
ALLEI.ST,2025-07-21,reset (expired)
ALLEI.ST,2025-07-25,buy
ALLEI.ST,2025-08-08,watchlist
ALLIGO-B.ST,2025-05-14,watchlist
ALLIGO-B.ST,2025-05-19,buy
ALLIGO-B.ST,2025-05-26,watchlist
ALLIGO-B.ST,2025-05-27,buy
ALLIGO-B.ST,2025-06-13,reset (expired)
ALLIGO-B.ST,2025-06-26,buy
ALLIGO-B.ST,2025-07-17,reset (expired)
ALLIGO-B.ST,2025-07-18,buy
ALLIGO-B.ST,2025-08-04,reset (expired)
ALLIGO-B.ST,2025-08-08,watchlist
AMBEA.ST,2025-05-13,watchlist
AMBEA.ST,2025-05-14,buy
AMBEA.ST,2025-05-30,reset (expired)
AMBEA.ST,2025-06-02,buy
AMBEA.ST,2025-06-16,watchlist
AMBEA.ST,2025-06-27,buy
AMBEA.ST,2025-07-17,watchlist
AMBEA.ST,2025-07-28,buy
AMBEA.ST,2025-08-06,watchlist
AMBEA.ST,2025-08-08,buy
ANOD-B.ST,2025-05-13,watchlist
ANOD-B.ST,2025-05-14,buy
ANOD-B.ST,2025-05-30,reset (expired)
ANOD-B.ST,2025-06-02,buy
ANOD-B.ST,2025-06-10,watchlist
ANOD-B.ST,2025-06-11,buy
ANOD-B.ST,2025-06-27,reset (expired)
ANOD-B.ST,2025-06-30,buy
ANOD-B.ST,2025-07-02,watchlist
ANOD-B.ST,2025-07-04,buy
ANOD-B.ST,2025-07-18,watchlist
ANOD-B.ST,2025-08-04,reset (expired)
ANOD-B.ST,2025-08-05,buy
APOTEA.ST,2025-05-15,watchlist
APOTEA.ST,2025-05-16,buy
APOTEA.ST,2025-06-02,reset (expired)
APOTEA.ST,2025-06-05,buy
APOTEA.ST,2025-06-26,reset (expired)
APOTEA.ST,2025-06-27,buy
APOTEA.ST,2025-07-17,reset (expired)
APOTEA.ST,2025-07-18,buy
APOTEA.ST,2025-07-21,watchlist
APOTEA.ST,2025-07-25,buy
APOTEA.ST,2025-08-04,watchlist
APOTEA.ST,2025-08-05,buy
AQ.ST,2025-05-13,watchlist
AQ.ST,2025-05-16,buy
AQ.ST,2025-05-26,watchlist
AQ.ST,2025-05-27,buy
AQ.ST,2025-06-11,watchlist
AQ.ST,2025-06-19,buy
AQ.ST,2025-06-27,watchlist
AQ.ST,2025-06-30,buy
AQ.ST,2025-07-17,reset (expired)
AQ.ST,2025-07-18,watchlist
AQ.ST,2025-07-28,buy
ARJO-B.ST,2025-05-13,watchlist
ARJO-B.ST,2025-05-14,buy
ARJO-B.ST,2025-05-21,watchlist
ARJO-B.ST,2025-05-26,buy
ARJO-B.ST,2025-06-09,watchlist
ARJO-B.ST,2025-06-10,buy
ARJO-B.ST,2025-06-23,watchlist
ARJO-B.ST,2025-06-26,buy
ARJO-B.ST,2025-07-17,reset (expired)
ARJO-B.ST,2025-07-25,buy
ASKER.ST,2025-05-14,watchlist
ASKER.ST,2025-05-15,buy
ASKER.ST,2025-06-02,reset (expired)
ASKER.ST,2025-06-04,buy
ASKER.ST,2025-06-23,reset (expired)
ASKER.ST,2025-06-26,buy
ASKER.ST,2025-07-17,sell
ASKER.ST,2025-07-21,watchlist
ASKER.ST,2025-08-04,buy
ASMDEE-B.ST,2025-05-13,watchlist
ASMDEE-B.ST,2025-05-14,buy
ASMDEE-B.ST,2025-05-20,watchlist
ASMDEE-B.ST,2025-05-21,buy
ASMDEE-B.ST,2025-06-09,reset (expired)
ASMDEE-B.ST,2025-06-10,buy
ASMDEE-B.ST,2025-06-26,reset (expired)
ASMDEE-B.ST,2025-06-27,watchlist
ASMDEE-B.ST,2025-07-07,buy
ASMDEE-B.ST,2025-07-25,reset (expired)
ASMDEE-B.ST,2025-07-28,watchlist
ASMDEE-B.ST,2025-08-04,buy
ASSA-B.ST,2025-05-13,watchlist
ASSA-B.ST,2025-05-21,buy
ASSA-B.ST,2025-05-26,watchlist
ASSA-B.ST,2025-05-27,buy
ASSA-B.ST,2025-06-04,watchlist
ASSA-B.ST,2025-06-05,buy
ASSA-B.ST,2025-06-23,reset (expired)
ASSA-B.ST,2025-06-26,buy
ASSA-B.ST,2025-07-17,reset (expired)
ASSA-B.ST,2025-07-18,watchlist
ASSA-B.ST,2025-08-04,reset (expired)
ASSA-B.ST,2025-08-05,buy
ATCO-B.ST,2025-05-13,watchlist
ATCO-B.ST,2025-05-14,buy
ATCO-B.ST,2025-05-26,watchlist
ATCO-B.ST,2025-05-27,buy
ATCO-B.ST,2025-06-13,reset (expired)
ATCO-B.ST,2025-06-16,buy
ATCO-B.ST,2025-07-02,reset (expired)
ATCO-B.ST,2025-07-04,buy
ATCO-B.ST,2025-07-21,reset (expired)
ATCO-B.ST,2025-07-25,buy
ATCO-B.ST,2025-08-04,watchlist
ATCO-B.ST,2025-08-05,buy
ATRLJ-B.ST,2025-05-13,watchlist
ATRLJ-B.ST,2025-05-14,buy
ATRLJ-B.ST,2025-05-26,watchlist
