name,change_30,change_10,vol_30,vol_10,start_10,close_10,status,notes
HTRO.ST,1.672,1.315,10281484,8148872,20.19,22.97,✅ Strong Uptrend,
SCST.ST,0.579,0.318,386908,297656,94.1,96.3,✅ Strong Uptrend,
SWEC-A.ST,0.002,0.707,9493,2524,165.5,169.0,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
OSSD.ST,1.007,2.13,8896222,1063244,14.56,15.82,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
NYF.ST,0.658,0.708,2060870,295564,86.1,87.15,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
FPAR-A.ST,-0.225,1.19,589884,141681,50.4,51.8,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.
BURE.ST,0.375,-0.647,780851,85315,291.8,298.4,"⚠️ 10D Weakness, 30D Strong",Short-term pullback. Watch for bounce or fail.; Volume tapering. Possibly quiet accumulation or weakness.
ELUX-A.ST,0.635,0.4,1251,302,84.0,86.5,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
SCA-A.ST,0.527,0.063,91623,54480,122.0,128.0,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
SKIS-B.ST,-0.089,0.016,1086304,68510,152.6,155.9,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.
SHOT.ST,0.366,0.764,3355805,952313,80.55,84.75,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
NMAN.ST,-0.105,0.245,117562,25546,169.4,174.8,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.
NCC-A.ST,0.453,-0.312,26501,7729,186.5,193.0,"⚠️ 10D Weakness, 30D Strong",Short-term pullback. Watch for bounce or fail.; Volume tapering. Possibly quiet accumulation or weakness.
HOLM-A.ST,-0.027,1.027,35140,3356,359.0,379.0,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.
FOI-B.ST,0.897,1.585,11037,4964,525.0,551.0,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
MTG-A.ST,0.45,-0.502,3799,1313,99.0,101.0,"⚠️ 10D Weakness, 30D Strong",Short-term pullback. Watch for bounce or fail.; Volume tapering. Possibly quiet accumulation or weakness.
MCOV-B.ST,0.149,0.07,634497,312711,262.5,282.0,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
HMS.ST,0.698,0.383,216146,48980,416.2,418.6,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
HM-B.ST,0.3,0.636,16990821,4073144,128.55,134.77,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
ALLIGO-B.ST,-0.112,3.495,164476,85507,111.6,112.2,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.
ORES.ST,0.411,-0.15,321946,171087,133.6,134.4,"⚠️ 10D Weakness, 30D Strong",Short-term pullback. Watch for bounce or fail.; Volume tapering. Possibly quiet accumulation or weakness.
VBG-B.ST,1.153,0.465,179017,122342,290.6,293.4,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
TFBANK.ST,-0.298,0.13,143687,117160,135.4,138.8,🔁 Possible Reversal,10D showing recovery while 30D still down.
SECARE.ST,0.497,1.65,2060442,1075985,44.8,47.05,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
FAG.ST,0.489,0.932,1220621,562171,38.05,39.7,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
BEIA-B.ST,0.869,1.212,532810,139535,264.5,266.0,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
ZZ-B.ST,0.412,0.475,928883,352086,234.5,252.5,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
XACT-OMXS30.ST,0.072,0.163,788596,483820,357.6,362.4,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
SVEAF.ST,0.784,1.082,2852381,880111,38.04,39.54,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
KINV-A.ST,0.289,0.88,106976,31471,104.8,107.6,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
CRED-A.ST,-0.341,0.052,763297,283485,77.2,78.75,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.
ACAD.ST,0.264,-0.465,799539,219944,87.5,88.7,"⚠️ 10D Weakness, 30D Strong",Short-term pullback. Watch for bounce or fail.; Volume tapering. Possibly quiet accumulation or weakness.
