Ticker,MarketCap
AAK.ST,69457993728.0
ABB.ST,1006882193408.0
ACAD.ST,8316982272.0
ADDT-B.ST,91591163904.0
AFRY.ST,18913083392.0
ALFA.ST,171240964096.0
ALIF-B.ST,
ALIG.ST,15239520256.0
ALLEI.ST,19951456256.0
ALLIGO-B.ST,5877936128.0
ALIV-SDB.ST,78438916096.0
AMBEA.ST,9427755008.0
ANOD-B.ST,13642984448.0
APOTEA.ST,9879459840.0
AQ.ST,16839683072.0
ARJO-B.ST,8639576064.0
ASKER.ST,42861621248.0
ASMDEE-B.ST,
ASSA-B.ST,345896910848.0
ATCO-B.ST,738750300160.0
ATRLJ-B.ST,20788543488.0
ATT.ST,9343125504.0
AXFO.ST,59373023232.0
AZA.ST,50724655104.0
AZN.ST,2159456550912.0
BAHN-B.ST,6464656384.0
BALD-B.ST,79729999872.0
BEIA-B.ST,13709650944.0
BEIJ-B.ST,75681062912.0
BERG-B.ST,8692742144.0
BETS-B.ST,26139586560.0
BILI-A.ST,11606272000.0
BILL.ST,25691226112.0
BIOA-B.ST,17812537344.0
BIOG-B.ST,
BIOT.ST,11399390208.0
BOL.ST,87981121536.0
BONEX.ST,17676609536.0
BOOZT.ST,5330704896.0
BRAV.ST,18298071040.0
BUFAB.ST,15935772672.0
BURE.ST,21650892800.0
CAMX.ST,37441003520.0
CAST.ST,58822676480.0
CATE.ST,27705286656.0
CIBUS.ST,13479736320.0
CLAS-B.ST,18007904256.0
CORE-A.ST,7581952000.0
CRED-A.ST,10786290688.0
CS.ST,6301397504.0
DIOS.ST,9136443392.0
DOM.ST,11712870400.0
DYVOX.ST,11827192832.0
EKTA-B.ST,19088867328.0
ELUX-A.ST,16724939776.0
ELUX-B.ST,16115224576.0
EMBRAC-B.ST,26785947648.0
EMIL-B.ST,5979699712.0
ENGCON-B.ST,14958582784.0
EPI-A.ST,252109275136.0
EPRO-B.ST,18594584576.0
EQT.ST,330179248128.0
ERIC-A.ST,276442939392.0
ERIC-B.ST,276242825216.0
ESSITY-A.ST,188953952256.0
ESSITY-B.ST,189572300800.0
EVO.ST,132879196160.0
FABG.ST,25606567936.0
FAG.ST,7802691072.0
FNOX.ST,52798197760.0
FOI-B.ST,7661142016.0
FPAR-A.ST,10804656128.0
GETI-B.ST,
GOTL-A.ST,6564435968.0
GRNG.ST,13554397184.0
HEBA-B.ST,5118441472.0
HEM.ST,26304378880.0
HEXA-B.ST,261458608128.0
HM-B.ST,220456910848.0
HMS.ST,22572988416.0
HOFI.ST,
HOLM-A.ST,
HPOL-B.ST,30878777344.0
HTRO.ST,
HUFV-A.ST,24580300800.0
HUSQ-A.ST,
INDT.ST,96837050368.0
INDU-A.ST,
INSTAL.ST,
INTEA-B.ST,18642499584.0
INVE-A.ST,871788314624.0
INVE-B.ST,871649968128.0
INWI.ST,12474605568.0
IPCO.ST,16107520000.0
ITAB.ST,6215970816.0
IVSO.ST,16416847872.0
JM.ST,9256438784.0
KAR.ST,10755236864.0
KINV-A.ST,23887396864.0
KINV-B.ST,23540785152.0
LAGR-B.ST,47029280768.0
LATO-B.ST,164049010688.0
LIAB.ST,16624348160.0
LIFCO-B.ST,184230019072.0
LIME.ST,5519294464.0
LOOMIS.ST,25710192640.0
LUND-B.ST,121718398976.0
MCAP.ST,6588804608.0
MCOV-B.ST,35958292480.0
MEKO.ST,6748669440.0
MILDEF.ST,10283468800.0
MIPS.ST,11311699968.0
MMGR-B.ST,8285574656.0
MTG-A.ST,13047539712.0
MTRS.ST,24460492800.0
MYCR.ST,37552631808.0
NCC-A.ST,18547765248.0
NCAB.ST,8499701760.0
NDA-SE.ST,481919500288.0
NEWA-B.ST,16161276928.0
NIBE-B.ST,79634767872.0
NMAN.ST,6426118144.0
NOLA-B.ST,15974054912.0
NORION.ST,9581023232.0
NORVA.ST,6544584192.0
NP3.ST,15575286784.0
NYF.ST,18104526848.0
OEM-B.ST,20325357568.0
ORES.ST,
OSSD.ST,1528226048.0
PDX.ST,20702107648.0
PEAB-B.ST,
PLAZ-B.ST,
PLEJD.ST,7132010496.0
PNDX-B.ST,31875973120.0
RATO-A.ST,13268277248.0
RAY-B.ST,11279041536.0
RESURS.ST,5220000256.0
ROKO-B.ST,33269600256.0
RUSTA.ST,11456105472.0
SAAB-B.ST,274136481792.0
SAGA-A.ST,76328689664.0
SAND.ST,268188581888.0
SAVE.ST,
SBB-B.ST,11208342528.0
SCA-A.ST,88916500480.0
SCA-B.ST,
SCST.ST,
SDIP-B.ST,
SEB-A.ST,
SECARE.ST,
SECT-B.ST,
SECU-B.ST,
SHB-A.ST,
SHOT.ST,
SINCH.ST,
SKA-B.ST,
SKF-A.ST,
SKF-B.ST,
SKIS-B.ST,
SLP-B.ST,
SOBI.ST,
SPLTN.ST,
SSAB-A.ST,
STEF-B.ST,
STOR-B.ST,
STORY-B.ST,7456625152.0
SUS.ST,7745777152.0
SVEAF.ST,6923999744.0
SVOL-A.ST,6200150016.0
SWEC-A.ST,59338149888.0
SWED-A.ST,284384657408.0
SYNSAM.ST,
SYSR.ST,18075199488.0
TEL2-B.ST,99521150976.0
TELIA.ST,146038571008.0
TFBANK.ST,8167450112.0
THULE.ST,28555501568.0
TREL-B.ST,80657203200.0
TROAX.ST,9539340288.0
TRUE-B.ST,23727570944.0
VBG-B.ST,6371019264.0
VER.ST,6244658688.0
VIMIAN.ST,22370146304.0
VIT-B.ST,18244134912.0
VITR.ST,21319358464.0
VOLCAR-B.ST,51377045504.0
VOLO.ST,11180197888.0
VOLV-A.ST,536039260160.0
VOLV-B.ST,535450615808.0
WALL-B.ST,30497998848.0
WIHL.ST,29497620480.0
XANO-B.ST,3511187456.0
XVIVO.ST,10016840704.0
YUBICO.ST,12812787712.0
ZZ-B.ST,7081271808.0
ADDV-B.ST,586803968.0
